"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"28,5";"29,4";"28,5";"47,0";"48,0";"44,0";"16,2";"16,4";"15,9";"961,7";"961,8";"961,1";"1,1";"109,0";"4,4";"";""
"01/01/2024";"0100";"28,1";"28,5";"27,8";"48,0";"50,0";"47,0";"16,1";"16,5";"15,9";"962,3";"962,3";"961,7";"0,9";"117,0";"3,3";"";""
"01/01/2024";"0200";"25,1";"28,1";"25,1";"78,0";"78,0";"48,0";"21,0";"21,0";"16,0";"963,4";"963,4";"962,3";"2,2";"340,0";"6,6";"";""
"01/01/2024";"0300";"24,0";"25,1";"23,9";"86,0";"86,0";"78,0";"21,4";"21,4";"21,1";"963,2";"963,5";"963,2";"1,3";"335,0";"6,2";"";""
"01/01/2024";"0400";"23,9";"24,0";"23,8";"86,0";"86,0";"86,0";"21,3";"21,4";"21,3";"962,6";"963,2";"962,6";"1,1";"334,0";"3,7";"";""
"01/01/2024";"0500";"23,7";"23,9";"23,7";"85,0";"86,0";"85,0";"21,1";"21,3";"21,1";"962,3";"962,6";"962,2";"0,5";"166,0";"2,8";"";""
"01/01/2024";"0600";"23,8";"24,1";"23,7";"86,0";"86,0";"84,0";"21,2";"21,4";"21,1";"962,0";"962,3";"962,0";"1,0";"125,0";"2,8";"";""
"01/01/2024";"0700";"23,1";"23,9";"23,1";"81,0";"86,0";"81,0";"19,6";"21,2";"19,6";"961,7";"962,0";"961,7";"1,7";"109,0";"4,6";"";""
"01/01/2024";"0800";"22,4";"23,2";"22,4";"74,0";"81,0";"73,0";"17,4";"19,4";"17,4";"962,0";"962,0";"961,7";"1,6";"110,0";"5,4";"";""
"01/01/2024";"0900";"21,5";"22,4";"21,5";"77,0";"77,0";"73,0";"17,3";"17,4";"17,2";"962,5";"962,5";"962,0";"2,7";"125,0";"7,5";"8,90";""
"01/01/2024";"1000";"21,3";"21,5";"21,2";"79,0";"80,0";"77,0";"17,5";"17,6";"17,3";"962,9";"962,9";"962,5";"2,1";"114,0";"8,4";"114,70";""
"01/01/2024";"1100";"24,0";"24,0";"21,3";"69,0";"79,0";"69,0";"17,9";"18,0";"17,5";"963,6";"963,6";"962,9";"2,5";"118,0";"7,3";"1142,50";""
"01/01/2024";"1200";"25,5";"26,1";"24,0";"63,0";"70,0";"61,0";"17,8";"18,7";"17,6";"963,6";"963,8";"963,5";"2,7";"89,0";"6,5";"2014,20";""
"01/01/2024";"1300";"28,2";"28,2";"25,3";"57,0";"64,0";"56,0";"18,9";"19,3";"17,6";"963,6";"963,7";"963,5";"2,0";"81,0";"7,0";"2764,60";""
"01/01/2024";"1400";"29,3";"29,4";"27,7";"49,0";"57,0";"47,0";"17,4";"19,0";"16,5";"963,3";"963,6";"963,2";"2,4";"61,0";"6,4";"3343,90";""
"01/01/2024";"1500";"30,4";"30,6";"28,9";"45,0";"52,0";"44,0";"17,2";"18,5";"16,5";"963,0";"963,4";"963,0";"2,5";"60,0";"6,6";"3689,30";""
"01/01/2024";"1600";"31,8";"31,8";"30,0";"44,0";"47,0";"41,0";"17,9";"18,5";"15,9";"961,9";"963,0";"961,9";"1,4";"57,0";"5,9";"3799,20";""
"01/01/2024";"1700";"32,0";"32,5";"31,0";"39,0";"47,0";"38,0";"16,4";"19,1";"15,8";"960,8";"961,9";"960,8";"2,0";"57,0";"5,4";"3727,10";""
"01/01/2024";"1800";"32,5";"32,8";"31,2";"40,0";"43,0";"36,0";"17,0";"18,2";"15,6";"960,0";"960,8";"960,0";"1,8";"61,0";"6,6";"2433,90";""
"01/01/2024";"1900";"33,2";"33,6";"31,9";"38,0";"43,0";"34,0";"16,9";"18,2";"14,8";"958,7";"960,0";"958,7";"1,7";"167,0";"5,1";"2641,10";""
"01/01/2024";"2000";"33,2";"33,5";"31,9";"35,0";"40,0";"34,0";"15,4";"17,1";"15,2";"958,0";"958,7";"958,0";"0,7";"38,0";"5,1";"1784,80";""
"01/01/2024";"2100";"32,5";"33,3";"31,6";"35,0";"40,0";"34,0";"15,0";"16,8";"14,8";"958,0";"958,0";"957,8";"0,8";"88,0";"4,0";"842,20";""
"01/01/2024";"2200";"31,1";"32,8";"31,1";"38,0";"39,0";"33,0";"15,0";"16,0";"14,4";"959,0";"959,0";"958,0";"1,3";"180,0";"4,4";"161,30";""
"01/01/2024";"2300";"29,4";"31,1";"29,4";"42,0";"42,0";"38,0";"15,2";"15,3";"14,9";"959,7";"959,7";"959,0";"1,0";"152,0";"4,5";"";""
"02/01/2024";"0000";"28,7";"29,6";"28,7";"45,0";"45,0";"42,0";"15,5";"15,5";"15,1";"960,3";"960,3";"959,7";"1,7";"113,0";"4,8";"";""
"02/01/2024";"0100";"28,1";"28,8";"28,0";"48,0";"48,0";"44,0";"15,9";"15,9";"15,5";"961,3";"961,3";"960,3";"1,9";"104,0";"5,2";"";""
"02/01/2024";"0200";"27,3";"28,1";"27,3";"49,0";"50,0";"47,0";"15,6";"16,0";"15,5";"961,6";"961,6";"961,3";"2,5";"107,0";"5,9";"";""
"02/01/2024";"0300";"26,8";"27,4";"26,8";"51,0";"51,0";"49,0";"15,8";"15,9";"15,6";"961,3";"961,7";"961,3";"2,2";"102,0";"5,3";"";""
"02/01/2024";"0400";"26,5";"26,8";"26,5";"52,0";"52,0";"51,0";"15,9";"15,9";"15,7";"961,2";"961,4";"961,2";"2,8";"90,0";"6,0";"";""
"02/01/2024";"0500";"25,8";"26,5";"25,8";"62,0";"62,0";"52,0";"17,8";"17,8";"15,8";"960,7";"961,2";"960,7";"2,8";"78,0";"7,6";"";""
"02/01/2024";"0600";"25,2";"26,0";"25,2";"58,0";"62,0";"55,0";"16,4";"17,8";"16,1";"960,5";"960,7";"960,4";"2,7";"78,0";"7,8";"";""
"02/01/2024";"0700";"24,4";"25,2";"24,4";"62,0";"62,0";"58,0";"16,7";"16,7";"16,3";"960,4";"960,5";"960,2";"2,8";"96,0";"7,3";"";""
"02/01/2024";"0800";"23,7";"24,4";"23,7";"67,0";"67,0";"62,0";"17,3";"17,3";"16,7";"960,7";"960,7";"960,3";"2,4";"100,0";"6,0";"";""
"02/01/2024";"0900";"23,3";"23,7";"23,2";"71,0";"71,0";"67,0";"17,7";"17,7";"17,3";"961,0";"961,1";"960,7";"2,3";"85,0";"5,9";"1,40";""
"02/01/2024";"1000";"23,5";"23,5";"23,3";"71,0";"71,0";"70,0";"17,9";"17,9";"17,6";"960,8";"961,1";"960,8";"2,8";"73,0";"6,8";"162,70";""
"02/01/2024";"1100";"24,1";"24,6";"23,5";"70,0";"71,0";"68,0";"18,3";"18,5";"17,9";"960,0";"960,8";"960,0";"3,2";"58,0";"7,4";"679,30";""
"02/01/2024";"1200";"26,6";"27,4";"24,1";"63,0";"70,0";"61,0";"19,0";"20,2";"18,4";"960,8";"960,9";"960,0";"3,1";"74,0";"7,4";"1748,00";""
"02/01/2024";"1300";"28,5";"28,6";"26,6";"60,0";"64,0";"58,0";"20,0";"20,4";"19,1";"961,0";"961,1";"960,8";"1,9";"84,0";"6,7";"2668,40";""
"02/01/2024";"1400";"29,3";"29,8";"28,5";"58,0";"62,0";"56,0";"20,2";"20,9";"19,3";"960,9";"961,0";"960,9";"1,8";"43,0";"5,1";"3112,30";""
"02/01/2024";"1500";"30,6";"31,1";"29,3";"55,0";"60,0";"53,0";"20,6";"21,7";"19,9";"960,6";"960,9";"960,6";"2,1";"344,0";"4,5";"2662,20";""
"02/01/2024";"1600";"31,8";"32,8";"30,6";"48,0";"57,0";"47,0";"19,3";"22,0";"19,3";"959,7";"960,7";"959,7";"1,3";"250,0";"4,7";"3300,10";""
"02/01/2024";"1700";"30,9";"32,3";"30,7";"49,0";"54,0";"47,0";"19,1";"21,2";"18,7";"958,9";"959,7";"958,8";"1,7";"125,0";"6,3";"1525,40";""
