"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"25,2";"26,0";"25,2";"75,0";"75,0";"69,0";"20,4";"20,4";"19,9";"963,0";"963,1";"962,1";"1,4";"78,0";"4,7";"";"0,0"
"01/01/2023";"0100";"24,6";"25,2";"24,5";"82,0";"82,0";"75,0";"21,3";"21,3";"20,4";"963,4";"963,4";"962,9";"1,3";"64,0";"3,5";"";"0,0"
"01/01/2023";"0200";"24,3";"24,7";"24,3";"83,0";"83,0";"80,0";"21,2";"21,3";"21,0";"963,5";"963,7";"963,3";"1,2";"61,0";"2,8";"";"0,0"
"01/01/2023";"0300";"24,2";"24,3";"24,1";"82,0";"83,0";"81,0";"21,0";"21,3";"20,8";"963,6";"963,6";"963,4";"1,2";"56,0";"2,5";"";"0,0"
"01/01/2023";"0400";"23,9";"24,3";"23,9";"83,0";"83,0";"82,0";"20,8";"21,0";"20,7";"963,2";"963,6";"963,2";"1,7";"56,0";"3,9";"";"0,0"
"01/01/2023";"0500";"23,7";"23,9";"23,5";"85,0";"85,0";"83,0";"21,0";"21,0";"20,7";"962,5";"963,2";"962,5";"1,1";"41,0";"3,5";"";"0,0"
"01/01/2023";"0600";"23,3";"23,7";"23,3";"99,0";"99,0";"85,0";"23,1";"23,1";"20,8";"962,0";"962,5";"962,0";"0,8";"83,0";"2,8";"";"0,0"
"01/01/2023";"0700";"23,1";"23,3";"23,0";"100,0";"100,0";"99,0";"23,1";"23,2";"23,0";"962,0";"962,0";"961,9";"0,8";"78,0";"3,2";"";"0,0"
"01/01/2023";"0800";"22,8";"23,1";"22,8";"100,0";"100,0";"100,0";"22,8";"23,1";"22,8";"962,2";"962,2";"962,0";"0,9";"75,0";"3,1";"";"0,0"
"01/01/2023";"0900";"22,6";"22,9";"22,3";"";"";"";"";"";"";"963,0";"963,0";"962,2";"0,9";"45,0";"2,5";"2,30";"0,0"
"01/01/2023";"1000";"23,7";"23,7";"22,6";"100,0";"";"";"23,7";"";"";"963,6";"963,6";"963,0";"0,7";"56,0";"2,8";"148,70";"0,0"
"01/01/2023";"1100";"25,1";"25,1";"23,7";"80,0";"100,0";"78,0";"21,3";"23,8";"20,8";"964,2";"964,2";"963,5";"0,9";"50,0";"3,4";"280,50";"0,0"
